probe_set	wt_a	wt_b	wt_c	ko_a	ko_b	ko_c	fold_change
Pp1s35_24V6	51	121	153	213	173	97	1,49
Pp1s35_250V6	2832	2238	2212	1849	2632	2267	-1,08
Pp1s35_251V6	8326	8507	8179	6957	7025	7324	-1,17
Pp1s35_252V6	66	42	43	43	50	53	-1,03
Pp1s35_253V6	3515	3365	5078	4006	4642	3441	1,01
Pp1s35_254V6	1849	1354	1986	1966	2037	1705	1,1
Pp1s35_255V6	4076	3660	3640	3400	3366	3679	-1,09
Pp1s35_256V6	29	25	38	33	48	53	1,46
Pp1s35_257V6	12918	14134	14814	14811	14078	14588	1,04
Pp1s35_259V6	4224	4212	4526	4504	4183	3762	-1,04
Pp1s35_260V6	2199	1739	2112	2482	2175	2320	1,15
Pp1s35_261V6	6322	5975	6434	6166	5608	5280	-1,1
Pp1s35_262V6	6941	7301	6370	6793	6333	6380	-1,06
Pp1s35_264V6	42	38	29	25	30	23	-1,4
Pp1s35_267V6	30	53	47	80	79	43	1,55
Pp1s35_268V6	39	112	108	88	135	52	1,06
Pp1s35_269V6	47	55	44	35	67	62	1,12
Pp1s35_26V6	13184	12266	14721	16764	14585	14519	1,14
Pp1s35_271V6	4008	4194	3770	4197	4135	4803	1,1
Pp1s35_272V6	516	796	373	436	586	433	-1,16
Pp1s35_276V6	5980	5156	5126	4996	5187	5120	-1,06
Pp1s35_277V6	68	56	41	66	84	59	1,27
Pp1s35_278V6	5816	7041	5301	4888	4973	5130	-1,21
Pp1s35_27V6	37	38	53	40	49	38	-1,01
Pp1s35_280V6	4555	5263	4598	5482	4803	4436	1,02
Pp1s35_281V6	3980	3887	4280	3586	3586	3694	-1,12
Pp1s35_283V6	5652	5224	5626	5527	5328	5379	-1,02
Pp1s35_284V6	72	51	45	52	53	79	1,1
Pp1s35_285V6	2665	2897	3126	2808	3051	3235	1,05
Pp1s35_286V6	5889	6335	5802	5970	5548	6196	-1,02
Pp1s35_287V6	1334	1730	1419	1469	1728	1786	1,11
Pp1s35_288V6	51	39	35	43	73	45	1,29
Pp1s35_289V6	709	798	1282	7790	14546	11028	11,96
Pp1s35_290V6	85	56	55	75	57	74	1,05
Pp1s35_305V6	8637	9212	6130	6433	8819	9414	1,03
Pp1s35_308V6	26	41	23	34	74	30	1,53
Pp1s35_312V6	24	41	31	38	41	36	1,2
Pp1s35_313V6	47	52	40	47	63	42	1,09
Pp1s35_317V6	36	27	28	53	33	43	1,42
Pp1s35_319V6	2205	2248	2104	1963	2511	2227	1,02
Pp1s35_31V6	7397	6663	7206	5978	6020	5282	-1,23
Pp1s35_323V6	1000	1041	1021	1300	1190	1343	1,25
Pp1s35_324V6	84	101	41	67	47	43	-1,44
Pp1s35_325V6	45	37	37	71	68	47	1,56
Pp1s35_326V6	2293	2189	2111	2503	2502	2003	1,06
Pp1s35_328V6	9885	8927	9901	8916	9601	8022	-1,08
Pp1s35_329V6	3924	3605	4364	4631	4179	5786	1,23
Pp1s35_32V6	91	71	253	244	142	106	1,19
Pp1s35_333V6	495	912	711	947	773	638	1,11
Pp1s35_336V6	2084	2055	1896	2043	1850	2012	-1,02
Pp1s35_337V6	1096	807	1238	1086	1107	1117	1,05
Pp1s35_338V6	57	63	90	101	81	82	1,26
Pp1s35_33V6	31	30	41	39	30	27	-1,06
Pp1s35_343V6	17313	18929	19323	17742	17978	16666	-1,06
Pp1s35_344V6	203	333	355	192	261	243	-1,28
Pp1s35_345V6	3531	3703	3542	3285	3429	2891	-1,12
Pp1s35_34V6	463	266	506	373	382	227	-1,26
Pp1s35_350V6	969	801	1238	1086	1032	1080	1,06
Pp1s35_353V6	1457	1426	1519	1587	1751	1653	1,13
Pp1s35_355V6	116	58	202	30	40	34	-3,62
Pp1s35_357V6	83	28	61	32	32	30	-1,83
Pp1s35_35V6	57	50	54	54	62	55	1,06
Pp1s35_361V6	834	902	1045	975	1078	718	-1
Pp1s35_363V6	35	70	74	38	66	47	-1,19
Pp1s35_368V6	2894	2459	2954	2543	2562	2849	-1,04
Pp1s35_369V6	78	45	114	57	77	62	-1,21
Pp1s35_370V6	33	31	22	40	45	34	1,38
Pp1s35_371V6	291	192	238	170	543	302	1,41
Pp1s35_376V6	179	173	295	271	251	477	1,54
Pp1s35_377V6	109	118	145	106	141	201	1,2
Pp1s35_383V6	317	595	502	718	466	561	1,23
Pp1s35_384V6	13617	16263	14055	16284	15099	15239	1,06
Pp1s35_387V6	43	72	284	103	223	74	1
Pp1s35_389V6	6281	5033	6216	6016	4676	5319	-1,09
Pp1s35_38V6	44	45	43	40	60	71	1,3
Pp1s35_398V6	79	37	49	62	29	40	-1,26
Pp1s35_39V6	847	883	818	927	907	865	1,06
Pp1s35_3V6	46	62	31	50	39	36	-1,11
Pp1s35_401V6	216	119	103	183	249	277	1,62
Pp1s35_404V6	3249	3203	3525	2558	2603	2254	-1,35
Pp1s35_40V6	7574	8000	7506	7972	6801	6116	-1,1
Pp1s35_41V6	6237	5957	6208	7117	6400	6838	1,11
Pp1s35_42V6	5529	6470	5746	6435	6672	5172	1,03
Pp1s35_44V6	60	81	40	65	84	41	1,05
Pp1s35_46V2	1585	954	1653	975	874	997	-1,47
Pp1s35_46V6	1039	1108	1648	1069	864	911	-1,33
Pp1s35_49V6	3908	3872	3813	2731	3131	2908	-1,32
Pp1s35_4V6	34	35	33	56	51	56	1,6
Pp1s35_50V6	1970	2377	2172	1708	1994	1993	-1,14
Pp1s35_51V6	44	52	32	108	78	106	2,28
Pp1s35_53V6	54	82	49	65	105	74	1,32
Pp1s35_56V6	60	34	62	57	28	61	-1,07
Pp1s35_57V6	28	82	144	87	43	64	-1,31
Pp1s35_59V6	29	45	29	27	32	39	-1,05
Pp1s35_5V6	43	22	40	34	34	37	1
Pp1s35_60V6	3550	3616	4489	3822	2900	4203	-1,07
Pp1s35_63V6	609	560	624	482	415	562	-1,23
Pp1s35_66V6	3799	3496	3729	3638	4195	4212	1,09
Pp1s35_67V6	34	38	58	65	45	44	1,18
Pp1s35_68V6	12128	11398	11855	11784	12207	10933	-1,01
Pp1s35_69V2	149	136	51	28	37	37	-3,29
Pp1s35_69V6	1685	1575	1440	304	315	406	-4,59
Pp1s35_71V6	67	83	41	30	31	39	-1,91
Pp1s35_74V6	168	318	117	239	240	279	1,26
Pp1s35_75V6	1626	1469	1622	2224	2228	2182	1,41
Pp1s35_76V6	19578	19552	20681	20301	20399	18958	-1
Pp1s35_78V6	15633	16506	14940	12562	13265	11604	-1,26
Pp1s35_79V6	36	30	83	49	29	52	-1,15
Pp1s35_7V6	1154	874	1468	1396	1492	1253	1,18
Pp1s35_80V6	59	61	86	66	44	42	-1,36
