probe_set	wt_a	wt_b	wt_c	ko_a	ko_b	ko_c	fold_change
Pp1s151_41V6	715	587	448	572	696	750	1,15
Pp1s151_43V6	52	39	55	31	38	40	-1,34
Pp1s151_44V6	41	45	37	31	38	42	-1,11
Pp1s151_48V6	27	38	45	64	42	59	1,5
Pp1s151_51V6	2886	2504	2381	2915	3357	2975	1,19
Pp1s151_69V6	82	78	38	44	46	41	-1,51
Pp1s151_6V6	1935	1731	1940	1914	1748	2048	1,02
Pp1s151_70V6	83	74	46	45	46	69	-1,27
Pp1s151_74V6	74	48	51	121	78	97	1,71
Pp1s151_75V6	5434	5633	5711	4893	5200	5819	-1,05
Pp1s151_80V6	601	1051	1015	695	743	1013	-1,09
Pp1s152_105V6	6636	6977	6801	3217	2871	3424	-2,15
Pp1s152_106V6	463	496	536	526	403	507	-1,04
Pp1s152_107V6	35	42	28	45	53	35	1,27
Pp1s152_109V6	4183	4231	3984	4165	3950	4496	1,02
Pp1s152_10V6	850	420	650	758	757	642	1,12
Pp1s152_111V6	5144	5671	5312	5678	6414	6441	1,15
Pp1s152_112V6	1542	1939	2277	2449	1972	2099	1,13
Pp1s152_115V6	741	887	991	860	799	789	-1,07
Pp1s152_116V6	49	48	41	27	49	36	-1,23
Pp1s152_118V6	481	252	415	411	245	341	-1,15
Pp1s152_119V6	7933	8990	8261	9194	8312	8552	1,03
Pp1s152_120V6	310	239	114	190	138	82	-1,62
Pp1s152_121V6	37	53	79	47	35	67	-1,13
Pp1s152_123V6	584	626	543	296	317	355	-1,81
Pp1s152_124V6	4060	4112	3859	4873	5036	5332	1,27
Pp1s152_125V6	54	29	29	31	34	29	-1,19
Pp1s152_129V6	132	220	326	277	246	233	1,12
Pp1s152_12V6	61	46	47	53	101	59	1,38
Pp1s152_130V6	1805	1769	1595	1646	1611	1805	-1,02
Pp1s152_133V6	26309	24314	20485	26042	25524	27097	1,11
Pp1s152_134V6	233	384	307	366	292	297	1,03
Pp1s152_135V6	5279	4536	4525	5312	6142	5812	1,2
Pp1s152_136V6	248	281	354	615	406	440	1,65
Pp1s152_137V6	2309	2356	2577	1787	1447	2002	-1,38
Pp1s152_13V6	7618	7528	7065	7130	7171	7116	-1,04
Pp1s152_140V6	3007	4046	3585	3493	2763	3739	-1,06
Pp1s152_141V6	20427	22362	19547	23788	21105	24033	1,11
Pp1s152_144V6	1207	1322	1156	1238	1005	1358	-1,02
Pp1s152_148V6	176	112	226	133	219	175	1,03
Pp1s152_151V6	7571	6618	7007	6338	6668	6764	-1,07
Pp1s152_152V6	25455	23718	23285	23727	23549	21464	-1,05
Pp1s152_153V6	11581	9819	10703	10876	11432	11107	1,04
Pp1s152_156V6	19302	20116	20441	20068	18780	19428	-1,03
Pp1s152_157V6	3257	4330	3587	4344	4483	4916	1,23
Pp1s152_15V6	5214	4053	4812	3152	3881	3132	-1,39
Pp1s152_162V6	28	58	71	43	47	60	-1,05
Pp1s152_163V6	1263	865	1057	678	843	697	-1,44
Pp1s152_167V6	1050	1283	1097	1099	1021	992	-1,1
Pp1s152_168V6	3205	2037	2196	2189	2753	3025	1,07
Pp1s152_169V6	76	43	49	112	44	70	1,35
Pp1s152_173V6	8306	8200	9023	7629	8299	8941	-1,03
Pp1s152_175V2	3513	2860	2441	1596	1309	1726	-1,9
Pp1s152_175V6	4053	5549	4257	2571	2301	2923	-1,78
Pp1s152_176V6	37	36	39	58	32	34	1,11
Pp1s152_177V6	48	35	30	48	28	36	-1,01
Pp1s152_179V6	2880	2388	2604	2681	3109	3438	1,17
Pp1s152_180V6	1351	1253	1582	1229	1345	935	-1,19
Pp1s152_182V6	59	96	43	48	32	47	-1,56
Pp1s152_184V2	475	284	553	563	322	400	-1,02
Pp1s152_184V6	399	318	412	482	357	435	1,13
Pp1s152_185V6	53	28	58	33	23	39	-1,46
Pp1s152_189V6	33	30	35	34	28	38	1,02
Pp1s152_193V6	7555	6624	8232	8107	7740	7809	1,06
Pp1s152_195V6	54	33	39	56	46	58	1,27
Pp1s152_196V6	518	450	460	589	368	461	-1,01
Pp1s152_197V6	3816	3708	3506	4394	5745	4512	1,33
Pp1s152_19V6	7159	6093	5462	6292	6634	5487	-1,02
Pp1s152_23V6	77	43	67	62	59	62	-1,02
Pp1s152_24V6	3925	3624	3860	3829	3673	3938	1
Pp1s152_29V6	1674	1461	1485	1593	1351	1012	-1,17
Pp1s152_31V6	2084	2367	2065	1811	1837	1859	-1,18
Pp1s152_35V6	3112	2244	3402	3244	3286	3554	1,15
Pp1s152_36V6	6765	8476	8998	7461	7367	7831	-1,07
Pp1s152_40V6	140	109	68	125	90	143	1,13
Pp1s152_43V6	486	439	423	674	466	603	1,29
Pp1s152_48V6	8919	8918	8987	8408	9287	8012	-1,04
Pp1s152_49V6	2017	2312	2266	2917	2466	2666	1,22
Pp1s152_4V6	732	534	1127	785	800	821	1,01
Pp1s152_50V6	1212	1269	1859	1351	1202	1174	-1,16
Pp1s152_51V6	6177	5308	6334	6178	6233	5945	1,03
Pp1s152_52V6	1363	1553	1457	1541	1471	1455	1,02
Pp1s152_53V6	2735	2028	2809	3770	3432	3605	1,43
Pp1s152_54V2	45	81	136	111	101	109	1,23
Pp1s152_57V6	55	30	54	92	83	147	2,32
Pp1s152_58V6	34	32	65	39	43	56	1,05
Pp1s152_5V6	3516	3014	2796	2886	2751	2600	-1,13
Pp1s152_60V6	973	1213	1414	990	900	1021	-1,24
Pp1s152_62V6	2585	2759	3372	1764	1833	2578	-1,41
Pp1s152_63V6	236	123	159	220	310	168	1,35
Pp1s152_64V6	4581	4437	4765	4382	3762	3803	-1,15
Pp1s152_65V6	1353	746	1615	521	377	497	-2,66
Pp1s152_66V6	7193	7030	6548	6014	6632	7232	-1,04
Pp1s152_67V6	44	43	58	45	196	199	3,03
Pp1s152_69V6	1365	1354	976	834	1153	1277	-1,13
Pp1s152_6V6	886	1036	868	885	906	1042	1,02
Pp1s152_70V6	612	638	748	477	603	642	-1,16
Pp1s152_71V6	40	120	62	74	45	66	-1,2
Pp1s152_72V6	1211	1468	1500	949	1098	1202	-1,29
Pp1s152_73V6	55	65	68	82	60	78	1,17
Pp1s152_75V6	3874	3601	4178	4516	4715	4890	1,21
Pp1s152_76V6	67	47	46	36	102	32	1,06
Pp1s152_77V6	37	36	104	53	62	54	-1,05
Pp1s152_79V6	704	422	592	563	745	755	1,2
Pp1s152_7V6	23580	24666	25642	23147	22911	24201	-1,05
Pp1s152_81V6	1786	1700	1887	1661	1569	1417	-1,16
Pp1s152_82V6	28280	34014	35150	35662	32513	32340	1,03
Pp1s152_83V6	902	714	1175	1251	1170	963	1,21
Pp1s152_85V6	92	46	45	79	70	65	1,17
Pp1s152_86V6	25741	25627	21415	25962	24500	23481	1,02
Pp1s152_87V6	13329	13779	15069	12740	13297	14436	-1,04
Pp1s152_88V6	1632	1894	1739	1813	1741	1807	1,02
Pp1s152_8V6	1566	1507	1722	1787	1892	1824	1,15
Pp1s152_90V6	3502	2983	2934	2589	2452	2996	-1,17
Pp1s152_91V6	4102	3860	3712	4153	4704	4174	1,12
Pp1s152_92V6	107	66	57	55	65	45	-1,39
Pp1s152_93V6	3372	2970	2483	2676	2993	2335	-1,1
Pp1s1536_1V6	37	36	130	35	49	43	-1,6
Pp1s153_100V6	54	44	31	69	44	43	1,21
Pp1s153_101V6	7300	7551	8161	6201	6831	5844	-1,22
Pp1s153_103V6	13074	11947	13297	14111	13000	13395	1,06
Pp1s153_104V6	1760	1481	1674	1688	1649	1416	-1,03
Pp1s153_106V6	12144	11616	13209	13339	12109	14346	1,08
Pp1s153_107V6	313	85	242	252	271	253	1,21
Pp1s153_112V6	4773	4492	5258	5177	6199	5429	1,16
Pp1s153_114V6	716	548	687	666	868	815	1,2
Pp1s153_115V6	3149	2443	2440	3080	2832	2866	1,09
Pp1s153_117V6	5020	5852	4991	5768	5493	5763	1,07
Pp1s153_118V6	7336	7554	7784	7845	7988	8385	1,07
Pp1s153_122V6	3613	3566	3507	4036	4084	3809	1,12
Pp1s153_123V6	1775	1869	1515	2370	1603	2336	1,22
Pp1s153_125V6	50	36	46	73	57	172	2,29
Pp1s153_133V6	12561	10513	13322	13840	13045	10749	1,03
Pp1s153_138V6	2531	2574	2206	2046	1892	2068	-1,22
Pp1s153_142V6	10721	8998	9836	10584	10628	10642	1,08
Pp1s153_146V6	20181	19846	19261	16236	16540	15082	-1,24
Pp1s153_153V6	17469	19128	16659	15714	14034	14279	-1,21
Pp1s153_166V6	5834	6284	5843	4203	3650	3569	-1,57
Pp1s153_170V6	1041	1236	1125	1787	1450	1730	1,46
Pp1s153_177V6	932	942	1192	1256	1270	953	1,13
Pp1s153_180V6	53	58	42	46	35	52	-1,15
Pp1s153_181V6	34	56	54	37	30	37	-1,38
Pp1s153_183V6	32	32	43	30	49	39	1,1
Pp1s153_184V6	17065	15519	15833	15498	16154	15784	-1,02
Pp1s153_185V6	321	411	328	474	558	411	1,36
Pp1s153_189V6	52	168	116	190	178	65	1,29
Pp1s153_193V6	8763	7359	8751	7013	6697	6595	-1,22
Pp1s153_24V6	39	83	49	36	51	75	-1,06
Pp1s153_2V6	36	41	40	59	39	49	1,26
Pp1s153_30V6	120	74	42	97	56	90	1,03
Pp1s153_32V6	81	44	38	51	61	76	1,15
Pp1s153_48V6	54	30	31	32	47	32	-1,04
Pp1s153_49V6	51	44	40	44	75	42	1,19
Pp1s153_50V6	49	120	138	80	78	57	-1,43
Pp1s153_54V6	1510	1705	1776	1718	1828	1885	1,09
Pp1s153_56V6	84	76	52	53	44	45	-1,49
Pp1s153_59V6	83	46	77	43	96	93	1,13
Pp1s153_5V6	44	58	130	60	56	75	-1,21
Pp1s153_61V6	1231	1434	1323	1355	1788	1562	1,18
Pp1s153_66V6	2736	2722	3098	1579	1132	1417	-2,07
Pp1s153_72V6	18219	19627	20691	19251	17445	20167	-1,03
Pp1s153_74V6	24706	24802	27255	19550	21443	17700	-1,31
Pp1s153_77V6	1445	1152	967	1059	831	1180	-1,16
Pp1s153_79V6	19157	21299	20446	16038	18496	13799	-1,26
Pp1s153_89V6	370	318	459	472	739	495	1,49
Pp1s153_92V6	467	475	240	592	527	651	1,5
Pp1s153_93V6	87	113	130	72	81	80	-1,42
Pp1s153_94V6	225	97	187	161	99	135	-1,29
Pp1s153_95V6	994	841	776	710	891	1143	1,05
Pp1s153_98V6	7654	7393	7471	9330	9048	8018	1,17
Pp1s154_101V6	2669	2008	2318	2628	2784	2743	1,17
Pp1s154_102V6	79	54	54	41	73	54	-1,11
Pp1s154_103V6	3062	3723	3407	3253	3572	3860	1,05
Pp1s154_104V6	3018	2685	3010	2991	2418	3249	-1,01
Pp1s154_109V6	1005	1414	1279	1218	696	684	-1,42
Pp1s154_10V6	6455	5235	5522	3794	3406	3013	-1,69
Pp1s154_111V2	3990	3031	3266	4533	4909	4675	1,37
Pp1s154_111V6	5436	4288	4690	5852	6630	6758	1,33
Pp1s154_114V6	142	27	120	1450	1674	1503	16,01
Pp1s154_115V6	1427	1788	1938	2406	2238	1833	1,26
Pp1s154_116V6	13000	13171	11761	12805	13240	13102	1,03
Pp1s154_117V6	44	413	75	102	144	140	-1,38
Pp1s154_118V6	2972	3052	2908	2706	2481	3226	-1,06
Pp1s154_11V6	2877	2769	2382	2861	3281	3512	1,2
Pp1s154_120V6	63	46	43	33	51	32	-1,31
Pp1s154_122V6	95	32	35	47	64	47	-1,03
Pp1s154_123V6	269	211	315	444	298	484	1,54
Pp1s154_124V6	559	885	666	816	803	900	1,19
Pp1s154_125V6	21401	22765	21897	20372	20940	22568	-1,03
Pp1s154_127V6	85	56	62	75	95	80	1,23
Pp1s154_129V6	25204	22283	24760	21786	20338	18170	-1,2
Pp1s154_12V6	2879	2716	2489	2882	2830	2865	1,06
Pp1s154_130V6	2724	3199	2453	2895	2742	2997	1,03
Pp1s154_131V6	6728	5099	5443	5639	5665	6031	1
Pp1s154_133V6	3208	3192	3138	3306	3481	3967	1,13
Pp1s154_134V6	12704	13590	13006	13077	12158	13190	-1,02
Pp1s154_137V6	348	308	307	260	228	259	-1,29
Pp1s154_13V6	12710	12015	12862	11265	11713	12443	-1,06
Pp1s154_140V6	3866	2974	4028	3895	4732	3495	1,12
Pp1s154_141V6	55	69	47	37	26	36	-1,73
Pp1s154_145V6	3064	3691	3847	5868	6694	5413	1,7
Pp1s154_146V6	38	32	32	34	37	50	1,19
Pp1s154_14V6	2976	2884	2733	2877	2737	2920	-1,01
Pp1s154_15V6	56	86	38	85	87	91	1,46
Pp1s154_17V6	65	53	41	73	65	76	1,35
Pp1s154_18V6	13463	13347	15176	11550	10407	8377	-1,38
Pp1s154_1V6	31	84	46	246	335	194	4,81
Pp1s154_20V6	4449	5080	4785	5125	5290	5488	1,11
Pp1s154_21V6	866	907	713	728	912	776	-1,03
Pp1s154_22V6	61	51	107	93	90	67	1,14
Pp1s154_24V6	32	39	42	62	55	71	1,66
Pp1s154_29V6	47	38	53	47	40	36	-1,12
Pp1s154_2V6	1098	1474	950	1250	1197	1272	1,06
Pp1s154_30V6	181	206	64	94	85	74	-1,78
Pp1s154_31V6	27	31	43	31	41	88	1,58
Pp1s154_32V6	11464	10540	11743	11689	9987	12152	1
Pp1s154_36V6	64	123	91	49	34	64	-1,89
Pp1s154_37V6	38	40	70	56	45	49	1,01
Pp1s154_3V6	4359	4088	4074	3802	3792	2950	-1,19
Pp1s154_48V6	38	45	40	40	28	43	-1,11
Pp1s154_4V6	2815	2812	3001	3276	3126	2762	1,06
Pp1s154_50V6	118	36	85	55	42	44	-1,7
Pp1s154_51V6	39	74	33	27	32	29	-1,66
Pp1s154_52V6	2646	2999	2609	1558	1327	1774	-1,77
Pp1s154_54V6	3589	4252	3530	3399	3458	3059	-1,15
Pp1s154_55V6	3621	2677	3129	3426	3751	3612	1,14
Pp1s154_58V6	5092	5649	6397	7929	12918	11892	1,91
Pp1s154_59V6	6934	7093	7434	8044	8940	9328	1,23
Pp1s154_5V6	11937	10742	11036	14213	10053	9925	1,01
Pp1s154_61V6	4203	5128	5227	4982	5101	4985	1,04
Pp1s154_62V6	2225	2008	2253	2113	2240	2262	1,02
Pp1s154_63V6	2623	3175	3224	3362	2859	3321	1,06
Pp1s154_64V6	3319	3247	4210	4402	4052	4612	1,21
Pp1s154_65V6	54	51	46	106	65	67	1,58
Pp1s154_66V6	14486	13802	12724	13189	13924	11708	-1,06
Pp1s154_69V6	33307	34635	30754	33943	31525	34134	1,01
Pp1s154_6V6	8200	6963	6750	6593	6956	7182	-1,06
Pp1s154_72V6	116	232	93	210	306	199	1,62
Pp1s154_76V6	49	119	39	120	59	102	1,36
Pp1s154_78V6	267	261	224	327	215	228	1,02
Pp1s154_79V6	2792	3048	2851	2466	2237	3176	-1,1
Pp1s154_80V6	31437	30844	29786	29728	30543	26873	-1,06
Pp1s154_81V6	4181	4432	5478	5996	6371	6956	1,37
Pp1s154_83V6	55	41	119	48	93	62	-1,06
Pp1s154_85V6	1071	873	774	776	690	715	-1,25
Pp1s154_89V6	38	40	57	34	40	51	-1,08
Pp1s154_8V6	2822	2224	2550	3538	3815	3488	1,43
Pp1s154_90V6	26	27	30	38	38	52	1,54
Pp1s154_91V6	39	37	34	50	47	31	1,16
Pp1s154_93V6	4148	3025	4082	2789	2984	2469	-1,37
Pp1s154_94V6	1976	2485	2441	2467	1762	2153	-1,08
Pp1s154_95V6	34	77	62	130	125	68	1,87
Pp1s154_96V6	60	57	69	61	53	71	-1,01
Pp1s154_97V6	35	27	38	30	51	41	1,22
Pp1s1558_1V6	38	31	84	44	53	43	-1,09
Pp1s155_101V6	630	768	527	963	826	914	1,4
Pp1s155_102V6	304	84	317	102	54	54	-3,36
Pp1s155_106V6	4587	4697	5344	5462	6077	5342	1,15
Pp1s155_107V6	2143	1791	2111	1887	1798	1835	-1,1
Pp1s155_109V6	614	895	815	664	736	663	-1,13
Pp1s155_111V6	12797	11801	12619	11450	12036	10412	-1,1
Pp1s155_112V6	8561	10234	10578	9083	9704	9212	-1,05
Pp1s155_113V6	457	377	378	436	416	378	1,01
Pp1s155_11V6	561	470	861	723	622	558	1,01
Pp1s155_12V6	8167	8436	7087	11094	12713	11285	1,48
Pp1s155_13V6	664	728	699	870	1096	822	1,33
Pp1s155_14V6	1350	1505	1210	1395	1622	1477	1,11
Pp1s155_17V6	42	31	30	34	32	34	-1,03
Pp1s155_19V6	45	44	49	79	60	54	1,4
Pp1s155_1V6	9363	9093	8989	7941	7771	9497	-1,09
Pp1s155_21V6	276	81	134	296	246	324	1,76
Pp1s155_26V6	63	114	33	43	31	60	-1,57
Pp1s155_27V6	9970	8268	6751	3913	4002	2979	-2,29
Pp1s155_32V6	679	420	1324	1251	995	772	1,25
Pp1s155_33V6	37	28	44	34	43	39	1,06
Pp1s155_34V6	34802	33297	34862	33868	34104	37179	1,02
Pp1s155_36V6	22865	19860	23195	23066	21995	20939	1
Pp1s155_42V6	88	38	79	55	47	41	-1,43
Pp1s155_44V6	1734	1297	1545	1209	1475	1248	-1,16
Pp1s155_46V6	967	1144	991	994	741	760	-1,24
Pp1s155_47V6	35	181	78	31	44	43	-2,49
Pp1s155_48V6	2291	3247	2189	2849	3022	2789	1,12
Pp1s155_49V6	188	138	260	132	202	145	-1,22
Pp1s155_4V6	54	78	32	57	100	40	1,2
Pp1s155_50V6	8232	6078	8051	7621	7503	7787	1,02
Pp1s155_52V6	41	51	34	56	42	48	1,16
Pp1s155_53V6	2105	1976	2116	1991	1838	1768	-1,11
Pp1s155_55V6	3243	4510	3560	3915	4486	3575	1,06
Pp1s155_56V6	4462	3097	4478	6277	6058	6483	1,56
Pp1s155_57V2	4844	4953	4803	4738	4973	4778	-1,01
Pp1s155_57V6	1515	1795	1611	1555	1670	1771	1,02
Pp1s155_5V6	71	85	69	75	49	33	-1,43
Pp1s155_61V6	4517	5069	4740	6711	6525	6298	1,36
Pp1s155_63V6	126	136	138	183	127	95	1,01
Pp1s155_64V6	34	41	76	57	49	40	-1,03
Pp1s155_65V6	2330	3224	3374	2033	2687	2582	-1,22
Pp1s155_71V6	35	30	29	37	26	32	1,01
Pp1s155_76V6	1876	1114	1609	1129	865	1256	-1,42
Pp1s155_77V6	319	138	98	203	125	88	-1,33
Pp1s155_79V6	58	41	67	72	59	37	1,01
Pp1s155_7V6	3764	3283	4305	4663	4423	4534	1,2
Pp1s155_80V6	6261	6486	5822	5339	4855	5334	-1,2
Pp1s155_82V6	279	218	296	196	165	193	-1,43
Pp1s155_86V6	1355	1432	1634	1667	1970	1949	1,26
Pp1s155_87V6	448	331	284	153	238	121	-2,08
Pp1s155_91V6	57	39	94	53	31	32	-1,64
Pp1s155_97V6	452	456	440	421	381	348	-1,17
Pp1s155_98V6	4003	3693	3182	3473	3831	4655	1,1
Pp1s155_9V6	3452	3692	3063	3365	3220	3384	-1,02
Pp1s1560_1V6	30	29	34	27	45	27	1,06
Pp1s1560_2V6	44	54	68	34	24	30	-1,89
Pp1s156_101V6	955	834	860	708	404	1102	-1,2
Pp1s156_102V6	291	550	452	689	346	360	1,08
Pp1s156_103V6	152	244	235	338	140	199	1,07
Pp1s156_104V6	1730	1438	1846	1533	1964	1733	1,04
Pp1s156_107V6	30	61	36	32	37	30	-1,28
Pp1s156_108V6	11885	10780	12332	12238	13455	13423	1,12
Pp1s156_109V6	6890	8510	8508	6662	5956	7737	-1,17
Pp1s156_110V6	20259	19663	16283	20462	19794	22748	1,12
Pp1s156_111V6	9177	8777	11664	8693	9632	9901	-1,05
Pp1s156_113V6	15010	12980	11626	11571	12566	12463	-1,08
Pp1s156_119V6	2093	1553	1535	1198	1201	1233	-1,43
Pp1s156_120V6	30499	29699	28380	26835	28655	27166	-1,07
Pp1s156_121V6	34	51	39	36	36	28	-1,24
Pp1s156_122V6	16242	14501	14226	16617	16662	18064	1,14
Pp1s156_123V6	7872	7091	8091	8155	7340	9192	1,07
Pp1s156_125V6	34	74	48	76	54	57	1,2
Pp1s156_132V6	38	63	26	45	32	31	-1,18
Pp1s156_133V6	1513	991	1008	1452	1303	1168	1,12
Pp1s156_135V6	530	407	573	462	497	428	-1,09
Pp1s156_136V6	2205	2136	2170	1299	1369	1285	-1,65
Pp1s156_138V6	1309	1088	906	1126	998	1046	-1,04
Pp1s156_140V6	1920	2016	1944	2714	2215	2669	1,29
Pp1s156_143V6	40	38	95	44	69	50	-1,06
Pp1s156_145V6	680	818	1081	921	1359	958	1,26
Pp1s156_146V6	39	56	47	44	71	40	1,09
Pp1s156_148V6	4322	5048	3792	4254	4270	4549	-1,01
Pp1s156_14V6	141	65	126	73	196	216	1,46
Pp1s156_150V6	5149	5354	4906	4376	4996	4788	-1,09
Pp1s156_151V6	56	52	37	81	63	58	1,39
Pp1s156_153V6	28797	26448	28270	27489	28503	30417	1,03
Pp1s156_154V6	104	34	98	65	75	46	-1,27
Pp1s156_156V6	117	120	84	125	138	67	1,03
Pp1s156_159V6	717	366	489	249	378	511	-1,38
Pp1s156_161V6	2677	2013	2313	2784	2698	1820	1,04
Pp1s156_162V6	59	136	93	85	107	138	1,15
Pp1s156_163V6	48	52	46	65	49	34	1,01
Pp1s156_164V6	1663	1894	2684	1958	2221	1807	-1,04
Pp1s156_166V6	263	429	293	385	205	308	-1,1
Pp1s156_167V6	3058	4702	4317	4365	4161	4326	1,06
Pp1s156_168V6	2453	2584	3271	2842	2893	2500	-1,01
Pp1s156_16V6	42	30	32	40	54	86	1,73
Pp1s156_171V6	12345	12374	14457	9877	9621	11163	-1,28
Pp1s156_173V6	7404	7230	8461	7724	6837	7193	-1,06
Pp1s156_175V6	58	54	56	50	43	53	-1,15
Pp1s156_176V6	427	410	470	571	770	674	1,54
Pp1s156_17V6	67	50	36	38	31	33	-1,5
Pp1s156_181V6	67	34	31	44	41	47	1
Pp1s156_19V6	5630	5408	5852	5515	5638	5367	-1,02
Pp1s156_1V6	37	32	54	36	42	98	1,43
Pp1s156_26V6	2373	2366	2172	3040	3164	3115	1,35
Pp1s156_27V6	107	68	86	72	46	36	-1,69
Pp1s156_28V6	3860	3934	4508	4657	4585	4495	1,12
Pp1s156_29V6	5787	6141	5119	6023	5112	4276	-1,11
Pp1s156_30V6	23204	20959	20820	19187	19700	17583	-1,15
Pp1s156_33V6	478	275	576	632	618	581	1,38
Pp1s156_35V6	41	56	88	62	70	47	-1,03
Pp1s156_36V6	5113	5751	5737	5821	5606	6106	1,06
Pp1s156_37V6	699	683	673	591	686	669	-1,06
Pp1s156_39V6	90	45	81	33	101	197	1,53
Pp1s156_40V6	69	64	47	37	32	49	-1,53
Pp1s156_41V6	8920	10081	8433	9676	10152	9677	1,08
Pp1s156_44V6	7758	6264	7518	9009	8629	8427	1,21
Pp1s156_45V6	3938	2640	4144	3575	2991	3224	-1,1
Pp1s156_46V6	58	75	70	53	39	72	-1,24
Pp1s156_48V6	5636	6571	5744	6933	6526	5947	1,08
Pp1s156_50V6	318	242	453	179	227	311	-1,41
Pp1s156_51V6	64	179	76	72	99	53	-1,42
Pp1s156_52V6	55	39	52	33	46	37	-1,26
Pp1s156_53V6	17805	17430	14739	17184	23217	16855	1,15
Pp1s156_54V6	94	72	305	169	322	201	1,47
Pp1s156_55V6	2909	2950	2949	2726	3316	2878	1,01
Pp1s156_57V6	18584	18672	17862	20428	18862	18848	1,05
Pp1s156_59V6	1020	1163	1082	1323	1123	1391	1,18
Pp1s156_60V6	2317	2121	2428	2214	2372	2688	1,06
Pp1s156_61V6	2701	1974	2413	1893	2030	1797	-1,24
Pp1s156_64V6	1546	1813	1471	1385	1417	1588	-1,1
Pp1s156_65V6	7887	7478	7384	7858	7661	7074	-1,01
Pp1s156_68V6	784	725	951	1106	819	925	1,16
Pp1s156_69V6	1216	861	1437	930	1124	1142	-1,1
Pp1s156_70V6	14746	18562	10649	16170	16635	16054	1,11
Pp1s156_73V6	3055	3821	3726	3823	4143	4289	1,16
Pp1s156_74V6	410	537	468	484	419	364	-1,12
Pp1s156_75V6	820	447	341	365	458	443	-1,27
Pp1s156_77V6	5830	5262	6736	5588	5292	5782	-1,07
Pp1s156_78V6	5053	4306	3171	2544	3291	3051	-1,41
Pp1s156_7V6	427	94	402	223	97	147	-1,98
Pp1s156_84V6	40	28	24	18	23	28	-1,33
Pp1s156_86V6	60	54	73	87	52	44	-1,02
Pp1s156_87V6	354	242	412	119	38	238	-2,55
Pp1s156_88V6	6538	6819	7520	6574	5585	7137	-1,08
Pp1s156_89V6	10228	9989	9548	9920	9215	10024	-1,02
Pp1s156_90V6	40	28	26	44	55	92	2,03
Pp1s156_92V6	51	308	309	168	125	197	-1,36
Pp1s156_93V6	260	468	471	365	414	602	1,15
Pp1s156_94V6	84	52	137	85	101	138	1,19
Pp1s156_95V6	39	29	50	36	52	30	1
Pp1s156_96V6	2641	2300	2386	2039	2532	1787	-1,15
Pp1s156_97V6	34	46	46	52	53	36	1,12
Pp1s156_99V6	5659	6267	4793	7711	5655	6471	1,19
Pp1s157_109V6	18050	19060	17289	17523	18265	17779	-1,02
Pp1s157_10V6	309	335	446	234	381	330	-1,15
Pp1s157_110V6	54	50	109	37	180	42	1,22
Pp1s157_111V6	43	34	30	85	35	47	1,56
Pp1s157_112V6	53	71	62	56	96	49	1,08
Pp1s157_113V6	65	36	39	53	36	29	-1,19
Pp1s157_114V6	27	37	39	35	33	36	1,01
Pp1s157_11V6	9603	9097	7829	7636	7584	7452	-1,17
Pp1s157_12V6	69	54	28	61	93	227	2,52
Pp1s157_13V2	2013	1886	1957	1506	1704	1654	-1,2
Pp1s157_13V6	2460	2332	2050	1988	1948	1951	-1,16
Pp1s157_15V6	792	1006	962	868	1011	697	-1,07
Pp1s157_16V6	3622	3359	3639	3877	3970	4315	1,15
Pp1s157_18V6	161	163	105	229	225	260	1,66
Pp1s157_19V6	976	893	977	1162	1272	1105	1,24
Pp1s157_20V6	64	77	102	71	112	48	-1,05
Pp1s157_21V6	96	47	47	46	49	26	-1,57
Pp1s157_23V6	75	39	33	45	45	37	-1,16
Pp1s157_24V6	42	53	35	68	39	43	1,15
Pp1s157_25V6	651	577	513	827	669	812	1,33
Pp1s157_29V6	3591	4333	2973	3561	3947	4136	1,07
Pp1s157_35V6	2464	2100	2979	2364	2668	2085	-1,06
Pp1s157_38V6	956	883	1215	1000	731	1130	-1,07
Pp1s157_3V6	41	42	67	40	129	67	1,57
Pp1s157_40V6	827	1183	764	591	799	742	-1,3
Pp1s157_41V6	2081	2329	1803	1600	1688	2097	-1,15
Pp1s157_44V6	11583	13163	15927	11519	9484	8869	-1,36
Pp1s157_48V6	2053	2364	2087	2313	2638	2699	1,18
Pp1s157_4V6	7368	7455	8468	8204	7678	10120	1,12
Pp1s157_50V6	2264	2193	2679	1384	1427	1696	-1,58
Pp1s157_51V6	5300	4130	3846	5162	5104	5254	1,17
Pp1s157_52V6	142	389	175	134	179	479	1,12
Pp1s157_53V6	3008	2953	2694	3215	3107	3162	1,1
Pp1s157_54V6	6828	7535	6331	7355	7486	7566	1,08
Pp1s157_55V6	5205	4992	5608	5090	6147	5476	1,06
Pp1s157_58V6	47	56	62	26	45	37	-1,53
Pp1s157_5V6	193	219	245	395	316	493	1,83
Pp1s157_62V6	5649	6417	4979	4680	4328	4072	-1,3
Pp1s157_63V6	4775	5833	4563	2821	2313	3250	-1,81
Pp1s157_69V6	5668	5764	5462	5247	4720	5199	-1,11
Pp1s157_6V6	1155	994	1274	1408	1494	1369	1,25
Pp1s157_75V6	40	36	46	64	40	68	1,41
Pp1s157_76V6	9599	10290	10676	11302	11087	10682	1,08
Pp1s157_79V6	1424	1267	1509	1703	1824	1587	1,22
Pp1s157_7V6	2748	2599	2378	2371	2283	2609	-1,06
Pp1s157_83V6	987	480	480	712	713	423	-1,05
