probe_set	wt_a	wt_b	wt_c	baseline mean	baseline mean's SE	ko_a	ko_b	ko_c	experiment mean	experiment mean's SE	fold change	lower bound of FC	upper bound of FC
Pp1s92_27V6__1	4766	4649	3780	4398,33	311,01	4798	4213	4546	4519	169,41	1,03	0,9	1,18
Pp1s92_29V6__1	1181	1266	1432	1293	73,7	1616	1218	1275	1369,67	124,26	1,06	0,88	1,26
Pp1s92_30V6__1	3125	3152	3992	3423	284,61	3047	3182	2984	3071	58,4	-1,11	-0,96	-1,27
Pp1s92_31V6__1	58	58	44	53,33	4,67	76	73	41	63,33	11,2	1,19	0,82	1,6
Pp1s92_33V6__1	8096	8129	8081	8102	14,18	4435	4433	5837	4901,67	467,67	-1,65	-1,43	-1,96
Pp1s92_35V6__1	46	39	54	46,33	4,33	73	162	74	103	29,5	2,22	1,16	3,39
Pp1s92_37V6__1	703	747	1344	931,33	206,72	798	998	591	795,67	117,5	-1,17	-0,71	-1,78
Pp1s92_3V6__1	3989	3631	3994	3871,33	120,18	4026	3294	4072	3797,33	252,02	-1,02	-0,91	-1,16
Pp1s92_41V6__1	167	316	187	223,33	46,69	240	258	257	251,67	5,84	1,13	0,84	1,72
Pp1s92_44V6__1	8154	8038	9412	8534,67	439,94	8378	8748	8200	8442	161,4	-1,01	-0,92	-1,1
Pp1s92_45V6__1	19123	17973	19328	18808	421,67	17097	17234	15890	16740,33	427	-1,12	-1,06	-1,19
Pp1s92_47V6__1	24087	21304	20349	21913,33	1121,25	24207	22788	24218	23737,67	474,84	1,08	0,99	1,19
Pp1s92_48V6__1	45	65	54	54,67	5,78	54	39	44	45,67	4,41	-1,2	-0,94	-1,52
Pp1s92_53V6__1	7823	7507	8476	7935,33	285,31	7161	7714	7677	7517,33	178,49	-1,06	-0,98	-1,13
Pp1s92_55V6__1	49	68	68	61,67	6,33	37	54	58	49,67	6,44	-1,24	-0,95	-1,65
Pp1s92_56V6__1	26	28	41	31,67	4,7	24	32	28	28	2,31	-1,13	-0,83	-1,47
Pp1s92_57V6__1	25	46	61	44	10,44	51	54	45	50	2,65	1,14	0,81	1,87
Pp1s92_58V6__1	44	64	27	45	10,69	27	31	31	29,67	1,33	-1,52	-0,92	-2,13
Pp1s92_5V6__1	3478	3301	3720	3499,67	121,44	3655	3243	3609	3502,33	130,34	1	0,92	1,09
Pp1s92_60V6__1	42	51	52	48,33	3,18	47	36	48	43,67	3,84	-1,11	-0,93	-1,33
Pp1s92_62V6__1	3331	3014	3338	3227,67	106,85	2922	3123	2550	2865	167,85	-1,13	-1,01	-1,26
Pp1s92_65V6__1	5112	5661	4959	5244	213,13	5758	6286	6136	6060	157,09	1,16	1,07	1,25
Pp1s92_69V6__1	23	43	27	31	6,11	36	40	48	41,33	3,53	1,33	0,97	2,01
Pp1s92_76V6__1	10836	12478	10100	11138	702,88	11927	9343	10512	10594	747,06	-1,05	-0,9	-1,23
Pp1s92_7V6__1	1612	1819	2610	2013,67	304,1	1810	1929	1744	1827,67	54,13	-1,1	-0,83	-1,38
Pp1s92_80V6__1	183	74	86	114,33	34,51	87	70	84	80,33	5,24	-1,42	-0,71	-2,17
Pp1s92_82V6__1	1733	1679	1622	1678	32,05	1112	1189	1274	1191,67	46,78	-1,41	-1,31	-1,52
Pp1s92_84V6__1	1506	1443	1405	1451,33	29,45	969	953	1020	980,67	20,2	-1,48	-1,41	-1,55
Pp1s92_87V6__1	1354	718	942	1004,67	186,25	565	634	856	685	87,79	-1,47	-0,97	-2,1
Pp1s92_8V6__1	644	794	426	621,33	106,84	992	599	706	765,67	117,31	1,23	0,84	1,84
Pp1s92_91V6__1	1661	1742	1641	1681,33	30,88	1733	1580	1997	1770	121,79	1,05	0,93	1,18
Pp1s92_93V6__1	2658	2922	2492	2690,67	125,2	2607	2490	2097	2398	154,24	-1,12	-0,99	-1,28
Pp1s9300_1V6__1	60	41	45	48,67	5,78	49	89	58	65,33	12,12	1,34	0,9	1,89
Pp1s9346_1V6__1	26	44	25	31,67	6,17	31	46	33	36,67	4,7	1,16	0,8	1,78
Pp1s9350_2V6__1	61	53	32	48,67	8,65	39	38	39	38,67	0,33	-1,26	-0,89	-1,63
Pp1s9355_1V6__1	47	38	71	52	9,85	41	49	45	45	2,31	-1,16	-0,79	-1,54
Pp1s935_1V6__1	64	66	58	62,67	2,4	45	47	43	45	1,15	-1,39	-1,29	-1,5
Pp1s937_2V6__1	37	43	47	42,33	2,91	39	37	33	36,33	1,76	-1,17	-1,01	-1,33
Pp1s937_4V6__1	33	51	63	49	8,72	43	43	26	37,33	5,67	-1,31	-0,87	-1,93
Pp1s93_102V6__1	52	37	56	48,33	5,78	38	42	78	52,67	12,72	1,09	0,64	1,63
Pp1s93_105V6__1	48	31	77	52	13,43	50	58	36	48	6,43	-1,08	-0,6	-1,67
Pp1s93_107V6__1	36	33	28	32,33	2,33	30	26	23	26,33	2,03	-1,23	-1,03	-1,46
Pp1s93_108V6__1	38	32	35	35	1,73	63	47	37	49	7,57	1,4	1,03	1,78
Pp1s93_113V6__1	102	79	78	86,33	7,84	66	47	33	48,67	9,56	-1,77	-1,28	-2,68
Pp1s93_114V6__1	1774	1852	1679	1768,33	50,02	1536	1454	1668	1552,67	62,34	-1,14	-1,05	-1,24
Pp1s93_116V6__1	356	224	341	307	41,73	348	187	238	257,67	47,51	-1,19	-0,83	-1,8
Pp1s93_117V6__1	1725	1784	2065	1858	104,89	1950	1909	1554	1804,33	125,73	-1,03	-0,89	-1,2
Pp1s93_121V2__1	3599	3968	4896	4154,33	385,83	4956	4970	3890	4605,33	357,69	1,11	0,91	1,36
Pp1s93_121V6__1	4532	4170	5096	4599,33	269,42	5871	6046	6374	6097	147,43	1,33	1,2	1,48
Pp1s93_122V6__1	6243	7910	7725	7292,67	527,54	6630	6786	6600	6672	57,65	-1,09	-0,96	-1,22
Pp1s93_123V6__1	5335	5457	5679	5490,33	100,69	5690	5469	5711	5623,33	77,4	1,02	0,99	1,06
Pp1s93_125V6__1	43	74	136	84,33	27,34	50	53	54	52,33	1,2	-1,61	-0,75	-2,48
