probe_set	wt_a	wt_b	wt_c	baseline mean	baseline mean's SE	ko_a	ko_b	ko_c	experiment mean	experiment mean's SE	fold change	lower bound of FC	upper bound of FC
Pp1s126_15V6__1	10635	10145	12924	11234,67	856,43	16104	15245	12990	14779,67	928,56	1,32	1,12	1,55
Pp1s126_162V6__1	2052	2398	2354	2268	108,74	1773	2026	1672	1823,67	105,28	-1,24	-1,1	-1,41
Pp1s126_16V6__1	261	149	68	159,33	55,95	150	255	284	229,67	40,7	1,44	0,81	3,51
Pp1s126_170V6__1	2631	2161	2850	2547,33	203,25	2579	2805	2623	2669	69,18	1,05	0,92	1,21
Pp1s126_171V6__1	4691	5220	4970	4960,33	152,79	5572	5451	5548	5523,67	36,99	1,11	1,06	1,17
Pp1s126_17V6__1	29	48	28	35	6,51	43	45	29	39	5,03	1,11	0,78	1,68
Pp1s126_183V6__1	3379	3563	3407	3449,67	57,24	3017	2678	3388	3027,67	205,03	-1,14	-1,02	-1,29
Pp1s126_185V6__1	95	39	80	71,33	16,74	40	35	34	36,33	1,86	-1,96	-1,2	-2,76
Pp1s126_186V6__1	4393	3920	4368	4227	153,67	2884	2794	3622	3100	262,29	-1,36	-1,18	-1,6
Pp1s126_187V6__1	108	54	147	103	26,96	119	105	79	101	11,72	-1,02	-0,57	-1,55
Pp1s126_188V6__1	67	65	88	73,33	7,36	50	58	49	52,33	2,85	-1,4	-1,15	-1,68
Pp1s126_190V6__1	5665	4183	4706	4851,33	433,94	4793	4797	4272	4620,67	174,34	-1,05	-0,89	-1,22
Pp1s126_191V6__1	1783	2221	2408	2137,33	185,21	2385	2575	2396	2452	61,58	1,15	1	1,34
Pp1s126_192V6__1	3060	2335	2696	2697	209,29	2587	2553	2873	2671	101,48	-1,01	-0,87	-1,16
Pp1s126_194V6__1	30	82	31	47,67	17,17	39	32	47	39,33	4,33	-1,21	-0,49	-2,02
Pp1s126_195V6__1	49	80	61	63,33	9,02	47	66	57	56,67	5,49	-1,12	-0,82	-1,47
Pp1s126_196V6__1	3525	3648	4059	3744	161,45	5767	5073	4824	5221,33	282,14	1,39	1,24	1,56
Pp1s126_197V6__1	14115	12870	14309	13764,67	450,83	14228	14822	14971	14673,67	226,95	1,07	1,01	1,13
Pp1s126_198V6__1	5970	6010	6843	6274,33	284,57	6434	6442	6550	6475,33	37,4	1,03	0,96	1,12
Pp1s126_21V6__1	51	51	69	57	6	47	39	33	39,67	4,06	-1,44	-1,12	-1,83
Pp1s126_23V6__1	35	64	50	49,67	8,37	59	59	60	59,33	0,33	1,19	0,94	1,65
Pp1s126_24V6__1	2744	3261	2223	2742,67	299,65	1711	2098	2386	2065	195,55	-1,33	-1,04	-1,68
Pp1s126_25V6__1	33	67	56	52	10,02	48	42	51	47	2,65	-1,11	-0,75	-1,48
Pp1s126_26V6__1	12288	12310	12070	12222,67	76,6	18451	18150	19272	18624,33	335,29	1,52	1,48	1,57
Pp1s126_27V6__1	3018	4405	3787	3736,67	401,18	3855	3718	3538	3703,67	91,79	-1,01	-0,83	-1,19
Pp1s126_29V6__1	39	64	62	55	8,02	51	52	102	68,33	16,84	1,24	0,71	1,93
Pp1s126_30V6__1	149	188	231	189,33	23,68	194	195	167	185,33	9,17	-1,02	-0,8	-1,26
Pp1s126_31V6__1	59	54	30	47,67	8,95	76	48	97	73,67	14,19	1,55	0,97	2,45
Pp1s126_33V6__1	2333	3147	2904	2794,67	241,26	1985	2260	2207	2150,67	84,23	-1,3	-1,1	-1,51
Pp1s126_34V6__1	36	35	42	37,67	2,19	38	49	46	44,33	3,28	1,18	1	1,37
Pp1s126_37V6__1	3417	4035	3303	3585	227,39	3481	3734	4043	3752,67	162,5	1,05	0,92	1,19
Pp1s126_38V6__1	11735	10701	10306	10914	426,04	10382	11089	11510	10993,67	329,1	1,01	0,93	1,09
Pp1s126_39V6__1	1602	1684	2288	1858	216,3	1489	1679	1561	1576,33	55,38	-1,18	-0,95	-1,42
Pp1s126_3V6__1	45	38	30	37,67	4,33	41	33	39	37,67	2,4	1	0,81	1,26
Pp1s126_40V6__1	29	71	32	44	13,53	51	34	33	39,33	5,84	-1,12	-0,54	-1,84
Pp1s126_41V6__1	5842	7613	5396	6283,67	677,02	6699	7186	6632	6839	174,57	1,09	0,92	1,33
Pp1s126_44V2__1	7373	8090	6970	7477,67	327,52	7832	7958	8398	8062,67	171,57	1,08	1	1,17
Pp1s126_44V6__1	5923	8034	6043	6666,67	684,54	7114	7603	6824	7180,33	227,31	1,08	0,91	1,3
Pp1s126_45V6__1	37	59	104	66,67	19,72	60	60	51	57	3	-1,17	-0,6	-1,76
Pp1s126_51V6__1	3837	2693	4178	3569,33	449,09	4987	4932	3958	4625,67	334,21	1,3	1,03	1,68
Pp1s126_52V6__1	15800	14670	15067	15179	330,97	14808	13800	15100	14569,33	393,79	-1,04	-0,98	-1,1
Pp1s126_53V6__1	96	79	97	90,67	5,84	45	33	28	35,33	5,04	-2,57	-2,02	-3,41
Pp1s126_5V6__1	1836	1735	1493	1688	101,77	2412	1891	2313	2205,33	159,74	1,31	1,12	1,52
Pp1s126_60V6__1	6862	7278	7235	7125	132,08	8225	7323	7631	7726,33	264,71	1,08	1,02	1,15
Pp1s126_61V6__1	5483	4489	5570	5180,67	346,74	4038	4548	4684	4423,33	196,63	-1,17	-1,02	-1,33
Pp1s126_62V6__1	8095	6656	7801	7517,33	438,95	7621	7295	5741	6885,67	580,02	-1,09	-0,93	-1,3
Pp1s126_63V6__1	7284	6447	6604	6778,33	256,86	7701	7571	7059	7443,67	195,96	1,1	1,02	1,19
Pp1s126_64V6__1	4396	3842	4330	4189,33	174,71	4133	4353	3152	3879,33	369,17	-1,08	-0,92	-1,3
Pp1s126_65V6__1	39	48	39	42	3	58	47	86	63,67	11,61	1,52	1,04	2,03
Pp1s126_6V6__1	41	23	30	31,33	5,24	26	33	28	29	2,08	-1,08	-0,77	-1,42
Pp1s126_71V6__1	19516	19191	18897	19201,33	178,76	19967	18547	17745	18753	649,65	-1,02	-0,97	-1,09
Pp1s126_73V6__1	19248	21041	20418	20235,67	525,56	20570	19001	16346	18639	1232,72	-1,09	-0,97	-1,23
Pp1s126_74V6__1	5963	6665	5869	6165,67	251,14	6825	7508	6361	6898	333,12	1,12	1,01	1,24
Pp1s126_76V6__1	59	63	338	153,33	92,34	122	220	133	158,33	31	1,03	0,46	109,5
Pp1s126_78V6__1	3325	3431	3180	3312	72,75	3333	3219	3051	3201	81,9	-1,03	-0,98	-1,09
Pp1s126_79V6__1	11621	11693	10385	11233	424,51	11029	11026	9958	10671	356,5	-1,05	-0,97	-1,14
Pp1s126_7V6__1	165	169	244	192,67	25,69	270	139	109	172,67	49,43	-1,12	-0,7	-2,16
Pp1s126_80V2__1	547	963	892	800,67	128,48	543	523	832	632,67	99,83	-1,27	-0,86	-1,85
Pp1s126_80V6__1	1796	2327	2469	2197,33	204,81	1552	1394	1865	1603,67	138,4	-1,37	-1,11	-1,69
Pp1s126_81V6__1	11989	9814	11942	11248,33	717,29	14705	11845	12486	13012	866,49	1,16	0,99	1,35
Pp1s126_82V2__1	17162	20158	19145	18821,67	879,85	22203	21774	19882	21286,33	713	1,13	1,03	1,25
Pp1s126_82V6__1	13784	14565	14202	14183,67	225,64	15565	15806	15321	15564	140,01	1,1	1,07	1,13
Pp1s126_83V6__1	3179	3077	4056	3437,33	310,73	4169	4501	3664	4111,33	243,34	1,2	1,01	1,44
Pp1s126_84V6__1	17311	15207	18340	16952,67	921,99	19878	17325	16213	17805,33	1084,91	1,05	0,92	1,2
Pp1s126_87V6__1	999	1404	1304	1235,67	121,8	1139	1192	1158	1163	15,5	-1,06	-0,89	-1,24
Pp1s126_89V6__1	1181	1218	1103	1167,33	33,89	1652	1036	847	1178,33	243,04	1,01	0,67	1,36
Pp1s126_8V6__1	2616	2870	2407	2631	133,87	3155	3055	3898	3369,33	265,9	1,28	1,09	1,49
Pp1s126_91V6__1	890	1183	1083	1052	85,99	695	912	1164	923,67	135,51	-1,14	-0,88	-1,54
Pp1s126_96V6__1	33	36	44	37,67	3,28	30	29	38	32,33	2,85	-1,16	-0,95	-1,43
Pp1s1272_2V6__1	40	43	28	37	4,58	44	27	46	39	6,03	1,05	0,75	1,45
Pp1s1272_4V6__1	44	62	36	47,33	7,69	44	47	41	44	1,73	-1,08	-0,78	-1,38
Pp1s127_100V6__1	168	332	176	225,33	53,38	363	268	351	327,33	29,87	1,45	1	2,42
Pp1s127_102V6__1	3422	4049	3723	3731,33	181,05	3597	3822	3883	3767,33	86,97	1,01	0,93	1,11
Pp1s127_105V6__1	7154	7222	7284	7220	37,54	6679	6570	6780	6676,33	60,64	-1,08	-1,06	-1,1
Pp1s127_109V6__1	453	248	130	277	94,36	344	194	221	253	46,16	-1,09	-0,47	-1,94
Pp1s127_10V6__1	557	513	470	513,33	25,12	324	315	363	334	14,73	-1,54	-1,38	-1,71
Pp1s127_110V6__1	293	265	173	243,67	36,25	314	249	379	314	37,53	1,29	0,95	1,8
Pp1s127_11V6__1	35	43	54	44	5,51	37	59	117	71	23,86	1,61	0,71	2,66
Pp1s127_120V6__1	1941	2487	2126	2184,67	160,32	2409	2129	2656	2398	152,23	1,1	0,94	1,29
Pp1s127_122V6__1	448	326	487	420,33	48,49	275	255	612	380,67	115,81	-1,1	-0,7	-2,25
Pp1s127_123V6__1	3863	4303	4073	4079,67	127,06	3785	3766	4232	3927,67	152,27	-1,04	-0,96	-1,13
Pp1s127_125V6__1	1418	1813	1628	1619,67	114,1	1943	1937	2169	2016,33	76,35	1,24	1,1	1,43
Pp1s127_127V6__1	36	36	31	34,33	1,67	31	23	31	28,33	2,67	-1,21	-1,03	-1,46
Pp1s127_128V6__1	432	484	429	448,33	17,85	265	220	268	251	15,52	-1,79	-1,59	-2,02
Pp1s127_12V6__1	4774	4023	4914	4570,33	276,63	5879	5661	6003	5847,67	99,96	1,28	1,16	1,43
Pp1s127_136V6__1	13573	14401	13795	13923	247,44	12544	14028	15503	14025	854,19	1,01	0,9	1,11
Pp1s127_13V6__1	76	67	64	69	3,61	94	76	54	74,67	11,57	1,08	0,8	1,38
Pp1s127_14V6__1	42	38	45	41,67	2,03	31	26	40	32,33	4,1	-1,29	-1,05	-1,65
Pp1s127_16V6__1	22534	18188	21410	20710,67	1302,4	19554	22259	16429	19414	1684,43	-1,07	-0,9	-1,28
Pp1s127_18V6__1	34	39	30	34,33	2,6	42	26	26	31,33	5,33	-1,1	-0,83	-1,55
Pp1s127_19V6__1	1548	1741	1721	1670	61,27	1617	1781	1663	1687	48,84	1,01	0,94	1,09
Pp1s127_20V6__1	1848	1589	1813	1750	81,13	1491	1231	1971	1564,33	216,74	-1,12	-0,9	-1,46
Pp1s127_21V6__1	386	357	440	394,33	24,32	464	425	403	430,67	17,84	1,09	0,97	1,24
Pp1s127_22V6__1	1012	1226	1453	1230,33	127,32	546	771	510	609	81,66	-2,02	-1,54	-2,71
Pp1s127_23V6__1	78	40	64	60,67	11,1	36	31	54	40,33	6,98	-1,5	-0,97	-2,3
Pp1s127_24V6__1	1467	1756	1948	1723,67	139,79	1693	1624	2164	1827	169,67	1,06	0,86	1,3
Pp1s127_26V6__1	645	511	564	573,33	38,96	705	813	630	716	53,11	1,25	1,06	1,47
Pp1s127_27V6__1	2603	3274	2826	2901	197,3	2951	2845	2737	2844,33	61,78	-1,02	-0,9	-1,14
Pp1s127_28V6__1	3233	4043	2766	3347,33	373,04	3864	4417	3665	3982	224,96	1,19	0,98	1,48
Pp1s127_29V6__1	3853	4295	4453	4200,33	179,56	5072	6317	4914	5434,33	443,68	1,29	1,1	1,5
Pp1s127_30V6__1	1572	1861	1691	1708	83,86	2193	2009	2083	2095	53,45	1,23	1,12	1,35
Pp1s127_31V6__1	4586	4717	4926	4743	99,01	3512	3731	4007	3750	143,21	-1,26	-1,18	-1,36
Pp1s127_33V6__1	5293	6235	5956	5828	279,36	5600	5321	6231	5717,33	269,17	-1,02	-0,91	-1,14
Pp1s127_36V6__1	1319	1019	1016	1118	100,5	1255	1285	1121	1220,33	50,42	1,09	0,93	1,3
Pp1s127_37V6__1	5715	6878	5881	6158	363,18	3879	3085	3676	3546,67	238,16	-1,74	-1,5	-2,02
Pp1s127_39V6__1	1969	1095	2126	1730	320,72	2228	1270	1428	1642	296,53	-1,05	-0,67	-1,64
Pp1s127_40V6__1	567	792	1049	802,67	139,24	832	819	863	838	13,05	1,04	0,81	1,46
Pp1s127_45V6__1	471	500	314	428,33	57,78	419	397	342	386	22,9	-1,11	-0,85	-1,39
Pp1s127_47V6__1	132	93	66	97	19,16	50	36	62	49,33	7,51	-1,97	-1,25	-2,94
Pp1s127_48V6__1	131	46	38	71,67	29,76	47	43	43	44,33	1,33	-1,62	-0,51	-2,73
Pp1s127_49V6__1	5406	4884	3814	4701,33	468,56	4829	4066	4548	4481	222,79	-1,05	-0,86	-1,25
Pp1s127_4V6__1	67	56	59	60,67	3,28	60	117	84	87	16,52	1,43	0,98	1,91
Pp1s127_51V6__1	69	49	43	53,67	7,86	65	51	43	53	6,43	-1,01	-0,73	-1,38
Pp1s127_53V6__1	1433	1522	2135	1696,67	220,67	1760	1467	1461	1562,67	98,68	-1,09	-0,84	-1,36
Pp1s127_66V6__1	13273	12613	11961	12615,67	378,74	11738	13276	12556	12523,33	444,28	-1,01	-0,93	-1,09
Pp1s127_68V6__1	554	843	368	588,33	138,19	369	406	515	430	43,82	-1,37	-0,82	-1,99
Pp1s127_69V6__1	26	74	28	42,67	15,68	35	45	46	42	3,51	-1,02	-0,4	-1,67
Pp1s127_6V6__1	4652	4998	5217	4955,67	164,47	4773	5675	5038	5162	267,66	1,04	0,94	1,15
Pp1s127_70V6__1	293	142	69	168	65,96	215	154	120	163	27,79	-1,03	-0,36	-1,88
Pp1s127_71V6__1	38	59	77	58	11,27	67	64	63	64,67	1,2	1,11	0,84	1,64
Pp1s127_73V6__1	2335	2382	2157	2291,33	68,52	2180	2297	2327	2268	44,84	-1,01	-0,95	-1,07
Pp1s127_74V6__1	17989	14856	17707	16850,67	1000,65	15516	17339	19072	17309	1026,64	1,03	0,89	1,18
Pp1s127_75V6__1	7758	9379	10011	9049,33	670,95	11212	10552	9827	10530,33	399,96	1,16	1,02	1,34
Pp1s127_77V6__1	34	29	49	37,33	6,01	40	56	42	46	5,03	1,23	0,91	1,74
Pp1s127_81V6__1	55	62	74	63,67	5,55	41	46	26	37,67	6,01	-1,69	-1,28	-2,35
Pp1s127_83V6__1	39	40	33	37,33	2,19	55	40	37	44	5,57	1,18	0,92	1,46
Pp1s127_88V6__1	95	46	69	70	14,15	89	84	57	76,67	9,94	1,1	0,75	1,71
Pp1s127_90V6__1	851	981	960	930,67	40,29	746	1261	856	954,33	156,59	1,03	0,74	1,32
Pp1s127_91V6__1	844	843	715	800,67	42,83	964	924	813	900,33	45,17	1,12	1	1,27
Pp1s127_92V6__1	6081	6580	5291	5984	375,25	5747	5999	5300	5682	204,38	-1,05	-0,93	-1,18
Pp1s127_93V6__1	19610	20146	19918	19891,33	155,3	21273	20225	19525	20341	507,93	1,02	0,98	1,07
Pp1s127_94V6__1	26957	25307	27345	26536,33	624,79	23813	25420	23816	24349,67	535,17	-1,09	-1,03	-1,15
Pp1s127_95V2__1	1447	1887	1365	1566,33	162,07	1710	1574	1754	1679,33	54,18	1,07	0,91	1,3
Pp1s127_95V6__1	1338	1467	1319	1374,67	46,49	1543	1459	1502	1501,33	24,25	1,09	1,03	1,16
Pp1s127_97V6__1	46	55	49	50	2,65	93	34	54	60,33	17,32	1,21	0,63	1,8
Pp1s127_99V6__1	37	35	30	34	2,08	34	45	36	38,33	3,38	1,13	0,94	1,34
Pp1s1283_2V6__1	38	49	39	42	3,51	72	34	44	50	11,37	1,19	0,73	1,69
Pp1s1283_3V6__1	27	49	92	56	19,09	64	30	31	41,67	11,17	-1,34	-0,55	-2,78
Pp1s128_100V6__1	4878	5304	4799	4993,67	156,83	7932	8068	8216	8072	82,01	1,62	1,53	1,71
Pp1s128_10V6__1	44	36	33	37,67	3,28	49	36	34	39,67	4,7	1,05	0,82	1,33
Pp1s128_112V6__1	3715	4701	4850	4422	356,11	4687	3664	4319	4223,33	299,16	-1,05	-0,87	-1,25
Pp1s128_117V6__1	1187	824	1172	1061	118,58	733	724	964	807	78,54	-1,31	-1,02	-1,68
Pp1s128_11V6__1	76	70	59	68,33	4,98	34	38	47	39,67	3,84	-1,72	-1,42	-2,12
Pp1s128_120V6__1	2432	1946	2307	2228,33	145,71	2380	2397	2590	2455,67	67,35	1,1	0,98	1,24
Pp1s128_127V6__1	12350	11514	12072	11978,67	245,8	13053	14486	14803	14114	538,33	1,18	1,1	1,26
Pp1s128_129V6__1	26364	27533	25688	26528,33	538,91	29085	29270	32807	30387,33	1211,01	1,15	1,06	1,23
Pp1s128_12V6__1	36	49	44	43	3,79	32	60	53	48,33	8,41	1,12	0,78	1,51
Pp1s128_133V6__1	4744	3788	4719	4417	314,58	6244	6215	6909	6456	226,65	1,46	1,29	1,68
Pp1s128_134V6__1	36	31	44	37	3,79	23	51	39	37,67	8,11	1,02	0,64	1,45
Pp1s128_140V6__1	46	58	49	51	3,61	50	42	48	46,67	2,4	-1,09	-0,94	-1,26
Pp1s128_141V6__1	7701	7810	7181	7564	194,07	6772	6843	7078	6897,67	92,47	-1,1	-1,04	-1,15
Pp1s128_142V6__1	68	53	43	54,67	7,26	74	48	45	55,67	9,21	1,02	0,7	1,44
Pp1s128_143V6__1	46	50	31	42,33	5,78	44	51	49	48	2,08	1,13	0,91	1,48
Pp1s128_144V6__1	119	139	96	118	12,42	40	44	34	39,33	2,91	-3	-2,4	-3,69
Pp1s128_146V6__1	48	34	53	45	5,69	37	32	32	33,67	1,67	-1,34	-1,05	-1,65
Pp1s128_147V6__1	8116	6902	8026	7681,33	390,53	7683	7973	8264	7973,33	167,72	1,04	0,95	1,14
Pp1s128_148V6__1	2268	2298	1968	2178	105,36	1822	2011	2204	2012,33	110,28	-1,08	-0,96	-1,22
Pp1s128_151V6__1	1766	1805	1477	1682,67	103,45	1758	1447	1601	1602	89,78	-1,05	-0,91	-1,2
Pp1s128_152V6__1	44	58	33	45	7,23	42	51	63	52	6,08	1,16	0,84	1,64
Pp1s128_154V6__1	5670	6265	6157	6030,67	183,01	5363	5057	5290	5236,67	92,27	-1,15	-1,09	-1,22
Pp1s128_157V6__1	132	158	170	153,33	11,22	113	138	113	121,33	8,33	-1,26	-1,07	-1,49
Pp1s128_158V6__1	45	59	37	47	6,43	44	41	38	41	1,73	-1,15	-0,88	-1,42
Pp1s128_159V6__1	56	42	25	41	8,96	21	39	49	36,33	8,19	-1,13	-0,66	-1,96
Pp1s128_16V6__1	7670	7848	6605	7374,33	388,08	8399	7469	7403	7757	321,56	1,05	0,94	1,18
Pp1s128_23V6__1	61	72	31	54,67	12,25	53	51	46	50	2,08	-1,09	-0,69	-1,51
Pp1s128_25V6__1	1028	841	938	935,67	53,99	1091	1241	912	1081,33	95,1	1,16	0,97	1,37
Pp1s128_28V6__1	239	89	101	143	48,12	146	96	124	122	14,47	-1,17	-0,52	-1,92
Pp1s128_2V6__1	9674	10063	9230	9655,67	240,64	8664	8421	8727	8604	93,29	-1,12	-1,07	-1,17
Pp1s128_30V6__1	5985	5297	5203	5495	246,5	5580	5487	5974	5680,33	149,27	1,03	0,95	1,13
Pp1s128_31V6__1	7756	7384	7284	7474,67	143,6	7636	7346	6603	7195	307,61	-1,04	-0,96	-1,12
Pp1s128_32V6__1	6016	6075	4666	5585,67	460,15	5232	5163	3892	4762,33	435,62	-1,17	-0,96	-1,44
Pp1s128_33V6__1	4117	4083	3612	3937,33	162,96	3849	3820	3588	3752,33	82,59	-1,05	-0,97	-1,13
Pp1s128_34V6__1	575	496	562	544,33	24,46	558	536	514	536	12,7	-1,02	-0,93	-1,1
Pp1s128_36V6__1	1734	1709	2008	1817	95,77	1895	1703	2394	1997,33	205,93	1,1	0,9	1,32
Pp1s128_37V6__1	10891	12075	10902	11289,33	392,85	12742	11570	12986	12432,67	437,05	1,1	1,02	1,19
Pp1s128_3V6__1	52	37	115	68	23,9	28	48	23	33	7,64	-2,06	-0,83	-3,99
Pp1s128_42V6__1	5296	4371	4552	4739,67	283,03	5318	5498	5693	5503	108,28	1,16	1,05	1,29
Pp1s128_44V6__1	88	56	35	59,67	15,41	32	43	40	38,33	3,28	-1,56	-0,88	-2,29
Pp1s128_45V6__1	47	68	93	69,33	13,3	63	194	146	134,33	38,26	1,94	0,98	3,32
Pp1s128_48V6__1	2198	1844	2091	2044,33	104,82	2499	2241	2094	2278	118,37	1,11	0,99	1,26
Pp1s128_49V6__1	10627	9037	10742	10135,33	550,17	8875	8624	7192	8230,33	524,2	-1,23	-1,07	-1,42
Pp1s128_50V6__1	4705	6209	6474	5796	550,84	4306	4799	4185	4430	187,78	-1,31	-1,09	-1,54
Pp1s128_51V6__1	2365	2450	2544	2453	51,69	2543	2889	2616	2682,67	105,3	1,09	1,01	1,18
Pp1s128_53V6__1	13400	17893	15918	15737	1300,17	14709	14731	13312	14250,67	469,38	-1,1	-0,95	-1,27
Pp1s128_55V6__1	958	1121	1258	1112,33	86,71	901	1016	758	891,67	74,62	-1,25	-1,03	-1,51
Pp1s128_58V6__1	11992	12184	12702	12292,67	212,04	12563	12385	13326	12758	288,61	1,04	0,99	1,09
Pp1s128_62V6__1	74	48	41	54,33	10,04	44	61	42	49	6,03	-1,11	-0,74	-1,57
Pp1s128_63V6__1	721	1061	720	834	113,5	913	900	995	936	29,74	1,12	0,91	1,45
Pp1s128_64V6__1	62	76	45	61	8,96	68	44	64	58,67	7,42	-1,04	-0,74	-1,43
Pp1s128_68V6__1	94	48	67	69,67	13,35	41	71	67	59,67	9,4	-1,17	-0,75	-1,75
Pp1s128_70V6__1	71	94	71	78,67	7,67	81	72	104	85,67	9,53	1,09	0,85	1,39
Pp1s128_72V6__1	80	43	57	60	10,79	35	36	65	45,33	9,84	-1,32	-0,83	-2,2
Pp1s128_75V6__1	35	40	56	43,67	6,33	36	36	50	40,67	4,67	-1,07	-0,78	-1,45
Pp1s128_76V6__1	90	88	89	89	0,58	69	85	35	63	14,74	-1,41	-1,02	-2,3
Pp1s128_79V6__1	1581	1569	1129	1426,33	148,71	902	947	949	932,67	15,34	-1,53	-1,26	-1,8
Pp1s128_7V6__1	678	1489	630	932,33	278,68	711	708	650	689,67	19,85	-1,35	-0,69	-2,02
Pp1s128_83V6__1	41	25	77	47,67	15,38	37	52	40	43	4,58	-1,11	-0,51	-1,77
Pp1s128_85V6__1	35	105	36	58,67	23,17	37	37	45	39,67	2,67	-1,48	-0,52	-2,48
Pp1s128_8V6__1	5697	5348	5266	5437	132,14	4202	4173	3480	3951,67	235,98	-1,38	-1,24	-1,54
Pp1s128_90V6__1	30	57	32	39,67	8,69	38	37	33	36	1,53	-1,1	-0,7	-1,51
Pp1s128_91V6__1	3872	4691	4567	4376,67	254,86	5360	5547	4897	5268	193,2	1,2	1,08	1,35
Pp1s128_92V6__1	40	68	27	45	12,1	95	84	124	101	11,93	2,24	1,46	4,12
Pp1s128_93V6__1	69	86	100	85	8,96	142	115	98	118,33	12,81	1,39	1,08	1,79
Pp1s128_94V6__1	362	584	332	426	79,47	668	1155	826	883	143,44	2,07	1,38	3,2
Pp1s128_98V6__1	24592	24791	24547	24643,33	74,97	23700	25362	27259	25440,33	1028,14	1,03	0,96	1,1
Pp1s129_103V6__1	28	74	34	45,33	14,44	40	60	57	52,33	6,23	1,15	0,72	2,47
Pp1s129_104V6__1	3805	4525	4163	4164,33	207,85	4483	5437	5239	5053	290,68	1,21	1,07	1,37
Pp1s129_105V6__1	2593	2216	1794	2201	230,77	2399	2574	2604	2525,67	63,92	1,15	0,97	1,39
Pp1s129_113V6__1	6456	6907	5448	6270,33	431,29	6035	5145	5799	5659,67	266,2	-1,11	-0,96	-1,27
Pp1s129_114V6__1	297	261	294	284	11,53	693	704	397	598	100,55	2,11	1,51	2,72
Pp1s129_115V6__1	23983	18972	26165	23040	2129,3	28630	30705	31564	30299,67	870,88	1,32	1,13	1,56
Pp1s129_117V6__1	3412	2543	3267	3074	268,78	3025	3176	3634	3278,33	183,1	1,07	0,9	1,27
Pp1s129_118V6__1	20423	19752	23659	21278	1206,16	24696	25431	24223	24783,33	351,44	1,16	1,06	1,29
Pp1s129_127V6__1	5332	5154	5699	5395	160,45	5400	5274	5689	5454,33	122,84	1,01	0,95	1,08
Pp1s129_12V6__1	4189	4986	4601	4592	230,12	4119	4459	4661	4413	158,14	-1,04	-0,94	-1,15
Pp1s129_131V6__1	65	28	46	46,33	10,68	30	24	41	31,67	4,98	-1,46	-0,86	-2,27
Pp1s129_132V6__1	41	51	63	51,67	6,36	24	38	34	32	4,16	-1,61	-1,2	-2,19
Pp1s129_133V6__1	5357	6790	6382	6176,33	426,26	5929	5213	6085	5742,33	268,47	-1,08	-0,93	-1,23
Pp1s129_139V6__1	3327	3219	2090	2878,67	395,56	2370	3234	2725	2776,33	250,73	-1,04	-0,78	-1,34
Pp1s129_140V6__1	4681	4255	4670	4535,33	140,2	4163	3934	4093	4063,33	67,75	-1,12	-1,05	-1,18
Pp1s129_145V6__1	4698	3917	3839	4151,33	274,26	4271	4400	4069	4246,67	96,32	1,02	0,92	1,15
Pp1s129_147V6__1	9251	9358	9124	9244,33	67,63	8321	8781	8937	8679,67	184,9	-1,07	-1,03	-1,11
Pp1s129_149V6__1	47	34	50	43,67	4,91	33	40	35	36	2,08	-1,21	-0,97	-1,48
Pp1s129_152V6__1	4649	4118	5007	4591,33	258,25	4347	4487	4577	4470,33	66,92	-1,03	-0,93	-1,13
Pp1s129_155V6__1	3041	2596	3534	3057	270,9	2833	2660	2835	2776	58	-1,1	-0,94	-1,27
Pp1s129_157V6__1	6127	4453	5599	5393	494,1	5545	5382	4554	5160,33	306,8	-1,05	-0,87	-1,24
Pp1s129_159V6__1	1312	1341	1239	1297,33	30,34	948	1018	577	847,67	136,83	-1,53	-1,21	-2,09
Pp1s129_171V6__1	39	33	23	31,67	4,67	31	42	27	33,33	4,48	1,05	0,76	1,48
Pp1s129_174V6__1	55	30	50	45	7,64	51	39	75	55	10,58	1,22	0,78	1,87
Pp1s129_178V6__1	39	48	73	53,33	10,17	32	27	22	27	2,89	-1,98	-1,31	-2,76
Pp1s129_181V6__1	7642	7303	7447	7464	98,23	7460	7705	9198	8121	543,12	1,09	0,97	1,21
Pp1s129_185V6__1	44	32	38	38	3,46	32	24	45	33,67	6,12	-1,13	-0,83	-1,65
Pp1s129_186V6__1	40	43	43	42	1	36	70	28	44,67	12,88	1,06	0,56	1,57
Pp1s129_190V6__1	215	189	124	176	27,06	69	59	54	60,67	4,41	-2,9	-2,12	-3,76
Pp1s129_192V6__1	69	47	38	51,33	9,21	33	26	30	29,67	2,03	-1,73	-1,2	-2,3
Pp1s129_193V6__1	21661	22744	21254	21886,33	444,64	16240	15574	17450	16421,33	549,09	-1,33	-1,25	-1,42
Pp1s129_195V6__1	2112	2502	2504	2372,67	130,33	2317	2538	2356	2403,67	68,1	1,01	0,92	1,13
Pp1s129_197V6__1	1604	2099	2432	2045	240,54	2451	2059	2506	2338,67	140,73	1,14	0,93	1,45
Pp1s129_198V6__1	2439	2923	2380	2580,67	172,01	2983	3760	2785	3176	297,54	1,23	1,01	1,48
Pp1s129_201V6__1	764	795	724	761	20,55	1477	1009	889	1125	179,38	1,48	1,09	1,87
Pp1s129_202V6__1	9249	8476	9232	8985,67	254,88	10379	10994	8326	9899,67	806,61	1,1	0,95	1,26
Pp1s129_203V6__1	10132	10531	10358	10340,33	115,52	11524	11725	12643	11964	344,42	1,16	1,1	1,22
