"Genes"	"pvalue"	"foldchange"
"48"	"Pp1s115_146V6"	0.0189886384162127	-1.45030559737086
"49"	"Pp1s116_195V6"	0.0418969678083428	-0.650898095073882
"50"	"Pp1s116_1V6"	0.0427602637005007	-1.37690476382656
"51"	"Pp1s116_30V6"	0.0182816828196693	-1.5941768793086
"52"	"Pp1s116_46V6"	0.0115559058355826	-0.978508839001115
"53"	"Pp1s117_116V6"	0.0108527567131767	-1.13594632539611
"54"	"Pp1s117_130V2"	0.0304098352050958	-4.05255198993512
"55"	"Pp1s117_13V6"	0.0109628361770492	-1.2411336221948
"56"	"Pp1s117_57V6"	0.0237980732659847	-0.741138893259921
"57"	"Pp1s11851_1V6"	0.00413944152710618	-0.612418099875574
"58"	"Pp1s118_130V6"	0.00613548794258231	-1.05699014768349
"59"	"Pp1s118_139V6"	0.0113220411963758	-0.601053282018361
"60"	"Pp1s118_142V6"	0.0252638600878663	-1.29447336708288
"61"	"Pp1s118_173V6"	0.00472138781939967	-0.734772834904409
"62"	"Pp1s118_231V2"	0.00506082068763657	-0.945185557724937
"63"	"Pp1s118_231V6"	0.00749770612828076	-1.04541406846858
"64"	"Pp1s118_27V2"	0.0243099041680366	-0.911207809533737
"65"	"Pp1s118_27V6"	0.0246252240258859	-1.01947461709326
"66"	"Pp1s118_75V6"	0.0297818215918846	-1.07714448446876
"67"	"Pp1s119_138V6"	0.0154047112369234	-0.908309018583077
"68"	"Pp1s119_43V6"	0.0240335228596372	-1.29713581186909
"69"	"Pp1s119_98V6"	0.0351197703524734	-0.734728399828013
"70"	"Pp1s11_120V6"	0.0486499401283779	-0.831267110201054
"71"	"Pp1s11_123V6"	0.0436543659433974	-0.858358234392774
"72"	"Pp1s11_136V6"	0.0135495675407112	-0.789987137559251
"73"	"Pp1s11_143V6"	0.0223275925091439	-1.07040762856979
"74"	"Pp1s11_212V6"	0.0456062116830312	-0.605639281781753
"75"	"Pp1s11_232V6"	0.00430039051140808	-1.67217991591111
"76"	"Pp1s11_271V6"	0.0162553038441448	-1.69724852261428
"77"	"Pp1s11_280V2"	0.0166359319563892	-0.972988345335468
