"Go_terms_and_categoria_BP.gene_id"	"Go_terms_and_categoria_BP.go_id"
"299"	"AT1G01470"	"GO:0009793"
"300"	"AT1G01470"	"GO:0010286"
"301"	"AT1G01470"	"GO:0010286"
"302"	"AT1G01470"	"GO:0050832"
"303"	"AT1G01470"	"GO:0050832"
"304"	"AT1G01471"	"GO:0008150"
"305"	"AT1G01480"	"GO:0009693"
"306"	"AT1G01480"	"GO:0009693"
"307"	"AT1G01480"	"GO:0009693"
"308"	"AT1G01480"	"GO:0009693"
"309"	"AT1G01480"	"GO:0009693"
"310"	"AT1G01480"	"GO:0009693"
"311"	"AT1G01480"	"GO:0009693"
"312"	"AT1G01480"	"GO:0009693"
"313"	"AT1G01500"	"GO:0008150"
"314"	"AT1G01510"	"GO:0000226"
"315"	"AT1G01510"	"GO:0000226"
"316"	"AT1G01510"	"GO:0006342"
"317"	"AT1G01510"	"GO:0006342"
"318"	"AT1G01510"	"GO:0006342"
"319"	"AT1G01510"	"GO:0007155"
"320"	"AT1G01510"	"GO:0008360"
"321"	"AT1G01510"	"GO:0008360"
"322"	"AT1G01510"	"GO:0008360"
"323"	"AT1G01510"	"GO:0008360"
"324"	"AT1G01510"	"GO:0009965"
"325"	"AT1G01510"	"GO:0009965"
"326"	"AT1G01510"	"GO:0010090"
"327"	"AT1G01510"	"GO:0010090"
"328"	"AT1G01510"	"GO:0010091"
"329"	"AT1G01510"	"GO:0010091"
"330"	"AT1G01510"	"GO:0010482"
"331"	"AT1G01510"	"GO:0016572"
"332"	"AT1G01510"	"GO:0016572"
"333"	"AT1G01510"	"GO:0016572"
"334"	"AT1G01510"	"GO:0016572"
"335"	"AT1G01510"	"GO:0031129"
"336"	"AT1G01510"	"GO:0042814"
"337"	"AT1G01510"	"GO:0042814"
"338"	"AT1G01510"	"GO:0045010"
"339"	"AT1G01510"	"GO:0045010"
"340"	"AT1G01510"	"GO:0045604"
"341"	"AT1G01510"	"GO:0045604"
"342"	"AT1G01510"	"GO:0048444"
"343"	"AT1G01510"	"GO:0048530"
"344"	"AT1G01510"	"GO:0051225"
"345"	"AT1G01510"	"GO:0051225"
"346"	"AT1G01510"	"GO:0051567"
"347"	"AT1G01510"	"GO:0051567"
"348"	"AT1G01510"	"GO:0051567"
"349"	"AT1G01510"	"GO:0051567"
"350"	"AT1G01510"	"GO:2000039"
"351"	"AT1G01510"	"GO:2000039"
"352"	"AT1G01510"	"GO:2000039"
"353"	"AT1G01520"	"GO:0006355"
"354"	"AT1G01520"	"GO:0006355"
"355"	"AT1G01520"	"GO:0006355"
"356"	"AT1G01520"	"GO:0009651"
"357"	"AT1G01520"	"GO:0009651"
"358"	"AT1G01540"	"GO:0046777"
"359"	"AT1G01540"	"GO:0046777"
"360"	"AT1G01540"	"GO:0046777"
"361"	"AT1G01550"	"GO:0006623"
"362"	"AT1G01550"	"GO:0048364"
"363"	"AT1G01550"	"GO:0048367"
"364"	"AT1G01560"	"GO:0000165"
"365"	"AT1G01560"	"GO:0000165"
"366"	"AT1G01560"	"GO:0000165"
"367"	"AT1G01560"	"GO:0006355"
"368"	"AT1G01560"	"GO:0006355"
"369"	"AT1G01560"	"GO:0006355"
"370"	"AT1G01560"	"GO:0006612"
"371"	"AT1G01560"	"GO:0006612"
"372"	"AT1G01560"	"GO:0006612"
"373"	"AT1G01560"	"GO:0007154"
"374"	"AT1G01560"	"GO:0007165"
"375"	"AT1G01560"	"GO:0007165"
"376"	"AT1G01560"	"GO:0009409"
"377"	"AT1G01560"	"GO:0009409"
"378"	"AT1G01560"	"GO:0009414"
"379"	"AT1G01560"	"GO:0009414"
"380"	"AT1G01560"	"GO:0009581"
"381"	"AT1G01560"	"GO:0009595"
"382"	"AT1G01560"	"GO:0009611"
"383"	"AT1G01560"	"GO:0009617"
"384"	"AT1G01560"	"GO:0009627"
"385"	"AT1G01560"	"GO:0009627"
"386"	"AT1G01560"	"GO:0009697"
"387"	"AT1G01560"	"GO:0009697"
"388"	"AT1G01560"	"GO:0009723"
"389"	"AT1G01560"	"GO:0009733"
"390"	"AT1G01560"	"GO:0009737"
"391"	"AT1G01560"	"GO:0009738"
"392"	"AT1G01560"	"GO:0009738"
"393"	"AT1G01560"	"GO:0009753"
"394"	"AT1G01560"	"GO:0009814"
"395"	"AT1G01560"	"GO:0009814"
"396"	"AT1G01560"	"GO:0009862"
"397"	"AT1G01560"	"GO:0009862"
"398"	"AT1G01560"	"GO:0009862"
"399"	"AT1G01560"	"GO:0009862"
"400"	"AT1G01560"	"GO:0009863"
"401"	"AT1G01560"	"GO:0009863"
"402"	"AT1G01560"	"GO:0009867"
"403"	"AT1G01560"	"GO:0009867"
"404"	"AT1G01560"	"GO:0010310"
"405"	"AT1G01560"	"GO:0010310"
"406"	"AT1G01560"	"GO:0010363"
"407"	"AT1G01560"	"GO:0010363"
"408"	"AT1G01560"	"GO:0030968"
"409"	"AT1G01560"	"GO:0030968"
"410"	"AT1G01560"	"GO:0030968"
"411"	"AT1G01560"	"GO:0031348"
"412"	"AT1G01560"	"GO:0035304"
"413"	"AT1G01560"	"GO:0035304"
"414"	"AT1G01560"	"GO:0035304"
"415"	"AT1G01560"	"GO:0042538"
"416"	"AT1G01560"	"GO:0042538"
"417"	"AT1G01560"	"GO:0043069"
"418"	"AT1G01560"	"GO:0045087"
"419"	"AT1G01560"	"GO:0050832"
"420"	"AT1G01560"	"GO:0050832"
"421"	"AT1G01570"	"GO:0008150"
"422"	"AT1G01580"	"GO:0009617"
"423"	"AT1G01580"	"GO:0009735"
"424"	"AT1G01580"	"GO:0015688"
"425"	"AT1G01580"	"GO:0055072"
"426"	"AT1G01600"	"GO:0006631"
"427"	"AT1G01600"	"GO:0006631"
"428"	"AT1G01610"	"GO:0000038"
"429"	"AT1G01610"	"GO:0000038"
"430"	"AT1G01610"	"GO:0000271"
"431"	"AT1G01610"	"GO:0006655"
"432"	"AT1G01610"	"GO:0006655"
"433"	"AT1G01610"	"GO:0007389"
"434"	"AT1G01610"	"GO:0008152"
"435"	"AT1G01610"	"GO:0008361"
"436"	"AT1G01610"	"GO:0008361"
"437"	"AT1G01610"	"GO:0009825"
"438"	"AT1G01610"	"GO:0009926"
"439"	"AT1G01610"	"GO:0009932"
"440"	"AT1G01610"	"GO:0009932"
"441"	"AT1G01610"	"GO:0010015"
"442"	"AT1G01610"	"GO:0010143"
"443"	"AT1G01610"	"GO:0010817"
"444"	"AT1G01610"	"GO:0040007"
"445"	"AT1G01610"	"GO:0042335"
"446"	"AT1G01610"	"GO:0043481"
"447"	"AT1G01610"	"GO:0048767"
"448"	"AT1G01610"	"GO:0048767"
"449"	"AT1G01610"	"GO:0071555"
"450"	"AT1G01610"	"GO:0071555"
